h1real,h1imag,h2real,h2imag,y1real,y1imag,y2real,y2imag,n1real,n1imag,n2real,n2imag,target,ymod 1 real,ymod 1 imag,ymod 2 real ,ymod 2 imag,ymod 3 real,ymod 3 imag,ymod 4 real,ymod 4 imag,  BER ,  All  this data is calculated for 0 db
0.38018808,0.402849424,1.29675253,-0.683706234,-0.397379327,0.595470443,0.836450564,0.220531685,-0.554531154,-0.126768651,0.344342428,-0.316142278,0,-0.397379327,0.595470443,-0.952931239,-0.411747362,0.836450564,0.220531685,-0.365161342,0.04809413,for 0 db  394 ,
-1.597245933,-0.501001392,0.609648601,-0.061839081,-0.952931239,-0.411747362,-0.365161342,0.04809413,-0.720860399,-0.291818759,0.886666478,1.150783521,0,-0.397379327,0.595470443,-0.952931239,-0.411747362,0.836450564,0.220531685,-0.365161342,0.04809413,for 1 db 264,
0.225401063,-0.121572487,-0.924675262,0.590283055,0.877068094,-0.759321689,0.657352766,-0.061238302,-0.400949552,-0.041847517,-0.003156958,-0.569828242,0,0.877068094,-0.759321689,-0.340678501,-0.969856449,0.657352766,-0.061238302,1.761720543,0.172049763,for 2 db   165,
-0.306595859,-0.208395313,0.242272084,-0.749954026,-0.340678501,-0.969856449,1.761720543,0.172049763,-0.471626032,-0.555775727,-0.755831377,0.637588533,0,0.877068094,-0.759321689,-0.340678501,-0.969856449,0.657352766,-0.061238302,1.761720543,0.172049763,for 3 db  113,
2.530308742,0.243852533,1.958287704,0.184533089,-1.11542539,0.083346373,0.310016952,0.130344985,-0.25873429,0.645651857,-0.731890911,1.055107282,1,-1.11542539,0.083346373,-0.94500497,0.39651393,0.310016952,0.130344985,-0.127232697,-0.026483155,for 4 db  76,
-0.954514209,1.75824393,2.146014963,0.984350253,-0.94500497,0.39651393,-0.127232697,-0.026483155,-0.440298886,0.129148969,-0.30919136,0.489935656,1,-1.11542539,0.083346373,-0.94500497,0.39651393,0.310016952,0.130344985,-0.127232697,-0.026483155,for 5 db 41,
0.512938247,0.41619177,-0.044586528,0.757746984,-1.649015061,0.488848824,0.527063707,0.353392895,-0.413305212,-0.466729603,-0.350587147,0.184912661,0,-1.649015061,0.488848824,1.354798149,0.226734461,0.527063707,0.353392895,0.721546437,0.159856543,for 10 db 1,
0.505399554,-0.174715564,-0.14493289,-1.239416411,1.354798149,0.226734461,0.721546437,0.159856543,-0.062744148,-0.319023519,0.357008886,0.114409476,0,-1.649015061,0.488848824,1.354798149,0.226734461,0.527063707,0.353392895,0.721546437,0.159856543,for 11 db 0,
-0.08778331,0.791074007,1.05337528,0.090612696,0.035681615,0.31437386,1.32594044,-1.761881565,-0.313042267,-0.044212461,-0.241941377,-0.627431633,1,0.035681615,0.31437386,0.139331074,-0.83615526,1.32594044,-1.761881565,1.07518994,-0.560743875,,
0.996337843,1.129217833,1.002106366,0.711906207,0.139331074,-0.83615526,1.07518994,-0.560743875,-0.267833654,-0.033270692,-0.411873012,-0.47347295,1,0.035681615,0.31437386,0.139331074,-0.83615526,1.32594044,-1.761881565,1.07518994,-0.560743875,,
