h1real,h1imag,h2real,h2imag,y1real,y1imag,y2real,y2imag,n1real,n1imag,n2real,n2imag,n1realxSNR11,n1imagxSNR11,n2realxSNR11,n2imagxSNR11,target,ymod1real,ymod1imag,ymod2real ,ymod2imag,ymod3real,ymod3imag,ymod4real,ymod 4 imag,  BER ,  All  this data is calculated for 0 db
0.628190576,0.930203492,-0.811101051,-0.476237641,0.118743763,1.338189721,-0.396461361,-0.336053123,0.416005846,0.608416651,-0.576355013,-0.19974776,0.117230447,0.171451812,-0.162416843,-0.056288919,0,-0.328369413,-1.711162464,0.118743763,1.338189721,0.918287041,-0.854475892,-0.396461361,-0.336053123,,
-0.755805549,-0.024853075,-0.572402016,-0.872533927,-1.917904589,-0.023963523,1.945631455,1.520337286,-0.980197737,-0.201709535,0.821691962,0.645898217,-0.276219722,-0.056841747,0.231552795,0.182014118,0,-1.917904589,-0.023963523,0.725467309,-1.005632868,1.945631455,1.520337286,0.510213507,-0.396370924,,
-2.081923297,0.226517746,1.017088459,0.364109664,0.725467309,-1.005632868,0.510213507,-0.396370924,-1.281110001,-1.148231324,0.824654306,-0.03686068,-0.361016798,-0.323571587,0.232387583,-0.01038734,1,-1.917904589,-0.023963523,0.725467309,-1.005632868,1.945631455,1.520337286,0.510213507,-0.396370924,,
0.229944436,0.402613583,-0.533814934,-0.002840218,-0.928459645,-0.974455273,0.972600325,0.576901623,-0.080715105,-0.383887292,-0.260622044,0.329807055,-0.022745517,-0.108179439,-0.073443292,0.092939628,0,-0.928459645,-0.974455273,0.175313079,0.87068766,0.972600325,0.576901623,-0.053816235,-0.126841302,,
0.96894739,0.432575666,-1.210224866,-0.346604271,0.175313079,0.87068766,-0.053816235,-0.126841302,0.697867079,0.849501268,-0.532110285,0.116236592,0.196658943,0.239389457,-0.149948678,0.032755472,0,-0.928459645,-0.974455273,0.175313079,0.87068766,0.972600325,0.576901623,-0.053816235,-0.126841302,,
-0.072296327,-1.221302116,-0.17072884,-0.394060642,0.341178119,-2.110301967,0.411917502,-1.804147999,0.551902712,-0.845648344,0.689070321,-0.773549928,0.155526184,-0.238303703,0.194180016,-0.21798637,1,0.341178119,-2.110301967,0.148221383,0.099174473,0.411917502,-1.804147999,-0.599659882,0.041949646,,
0.22571325,0.567188189,0.221224435,1.063425127,0.148221383,0.099174473,-0.599659882,0.041949646,0.039739236,-0.36335392,-0.63536566,0.515261813,0.011198517,-0.102393135,-0.179046043,0.145200779,0,0.341178119,-2.110301967,0.148221383,0.099174473,0.411917502,-1.804147999,-0.599659882,0.041949646,,
-0.611562454,0.650296927,-0.021249475,-0.394033,-0.169607602,0.422285733,0.085273817,-0.012595621,0.180392847,0.136781937,0.414153109,-0.278227124,0.050834704,0.03854515,0.116708346,-0.078404404,1,-0.169607602,0.422285733,-1.052955057,-1.420652094,0.085273817,-0.012595621,-1.025413911,0.812639944,,
-0.116587073,0.246533586,0.44385608,-0.769692673,-1.052955057,-1.420652094,-1.025413911,0.812639944,-0.538075589,-0.786497157,-1.324241906,-0.010238371,-0.151629701,-0.221634899,-0.373171369,-0.002885173,0,-0.169607602,0.422285733,-1.052955057,-1.420652094,0.085273817,-0.012595621,-1.025413911,0.812639944,,
0.773055568,0.424718762,0.784374671,0.292052504,0.853013731,1.288094895,0.634116417,0.164733199,-0.125445514,0.225628563,0.118159313,-0.197338585,-0.035350546,0.063582129,0.033297294,-0.055610013,1,0.853013731,1.288094895,-0.033406871,0.122544737,0.634116417,0.164733199,1.153521967,-1.019938621,,
-0.610694767,-1.077835534,0.054701138,-0.219994323,-0.033406871,0.122544737,1.153521967,-1.019938621,-0.148213295,-0.339278562,0.560205772,-0.968985792,-0.041766507,-0.095608699,0.157865987,-0.273060196,0,0.853013731,1.288094895,-0.033406871,0.122544737,0.634116417,0.164733199,1.153521967,-1.019938621,,
-0.858510395,1.157383772,-0.787363925,-1.416011459,0.845637159,-0.994513179,0.049855048,-0.071987117,0.242003302,0.151947367,-1.273210477,-0.287256091,0.068196531,0.042818768,-0.358790712,-0.080948766,0,0.845637159,-0.994513179,-0.105676741,0.043621586,0.049855048,-0.071987117,-0.153821481,-0.630367117,,
-0.004843206,-0.463956281,1.083733284,-1.111575156,-0.105676741,0.043621586,-0.153821481,-0.630367117,-0.716159927,-0.446705694,0.055743302,1.156906519,-0.201813867,-0.125881665,0.015708463,0.326016257,1,0.845637159,-0.994513179,-0.105676741,0.043621586,0.049855048,-0.071987117,-0.153821481,-0.630367117,,
-0.544235987,-0.743225565,0.262604477,-1.169412697,0.512188272,0.570906767,-1.151263091,0.24057001,0.784229027,1.281154558,-0.778274427,0.599379695,0.22099574,0.361029354,-0.219317734,0.168905198,1,0.512188272,0.570906767,-0.420366514,-0.747913349,-1.151263091,0.24057001,0.618087356,1.204700744,,
