h1real,h1imag,h2real,h2imag,y1real,y1imag,y2real,y2imag,n1real,n1imag,n2real,n2imag,target,ymod 1 real,ymod 1 imag,ymod 2 real ,ymod 2 imag,ymod 3 real,ymod 3 imag,ymod 4 real,ymod 4 imag,  BER ,  All  this data is calculated for 0 db
0.38018808,0.402849424,1.29675253,-0.683706234,0.621439641,-0.677280466,0.571646914,-0.233709263,-0.554531154,-0.126768651,0.344342428,-0.316142278,0,0.621439641,-0.677280466,0.05063602,0.487675802,0.571646914,-0.233709263,0.161565024,-0.866826446,for 0 db  394 ,
-1.597245933,-0.501001392,0.609648601,-0.061839081,0.05063602,0.487675802,0.161565024,-0.866826446,-0.720860399,-0.291818759,0.886666478,1.150783521,0,0.621439641,-0.677280466,0.05063602,0.487675802,0.571646914,-0.233709263,0.161565024,-0.866826446,for 1 db 264,
0.225401063,-0.121572487,-0.924675262,0.590283055,-1.171408621,-0.286414827,-1.004465645,0.400438495,-0.400949552,-0.041847517,-0.003156958,-0.569828242,0,-1.171408621,-0.286414827,-0.061126693,-0.957939023,-1.004465645,0.400438495,-0.552246497,0.309536392,for 2 db   165,
-0.306595859,-0.208395313,0.242272084,-0.749954026,-0.061126693,-0.957939023,-0.552246497,0.309536392,-0.471626032,-0.555775727,-0.755831377,0.637588533,0,-1.171408621,-0.286414827,-0.061126693,-0.957939023,-1.004465645,0.400438495,-0.552246497,0.309536392,for 3 db  113,
2.530308742,0.243852533,1.958287704,0.184533089,-0.677881858,1.126263435,0.733907316,1.074105278,-0.25873429,0.645651857,-0.731890911,1.055107282,0,-0.677881858,1.126263435,-0.858951466,-0.16154898,0.733907316,1.074105278,0.896657918,0.645213565,for 4 db  76,
-0.954514209,1.75824393,2.146014963,0.984350253,-0.858951466,-0.16154898,0.896657918,0.645213565,-0.440298886,0.129148969,-0.30919136,0.489935656,0,-0.677881858,1.126263435,-0.858951466,-0.16154898,0.733907316,1.074105278,0.896657918,0.645213565,for 5 db 41,
0.512938247,0.41619177,-0.044586528,0.757746984,-1.216349042,-0.546531299,-0.562657654,0.106306927,-0.413305212,-0.466729603,-0.350587147,0.184912661,0,-1.216349042,-0.546531299,-0.719392344,-0.680103527,-0.562657654,0.106306927,0.662315907,0.36269698,for 10 db 1,
0.505399554,-0.174715564,-0.14493289,-1.239416411,-0.719392344,-0.680103527,0.662315907,0.36269698,-0.062744148,-0.319023519,0.357008886,0.114409476,0,-1.216349042,-0.546531299,-0.719392344,-0.680103527,-0.562657654,0.106306927,0.662315907,0.36269698,for 11 db 0,
-0.08778331,0.791074007,1.05337528,0.090612696,-0.31122627,-0.109515879,-0.552112294,0.072713269,-0.313042267,-0.044212461,-0.241941377,-0.627431633,0,-0.31122627,-0.109515879,0.063635887,-0.346017523,-0.552112294,0.072713269,-0.703917053,1.117334579,,
0.996337843,1.129217833,1.002106366,0.711906207,0.063635887,-0.346017523,-0.703917053,1.117334579,-0.267833654,-0.033270692,-0.411873012,-0.47347295,0,-0.31122627,-0.109515879,0.063635887,-0.346017523,-0.552112294,0.072713269,-0.703917053,1.117334579,,
0.474820177,0.599425161,-0.853822191,-0.244127066,0.083965269,0.887434873,-0.300244361,-1.187758425,0.298218723,0.596729246,-0.00535561,0.288989412,0,0.083965269,0.887434873,-0.520082348,-0.308547652,-0.300244361,-1.187758425,-0.531798641,0.016296204,,
0.507164314,0.621829767,1.152750428,-0.278827929,-0.520082348,-0.308547652,-0.531798641,0.016296204,0.092911456,-0.396494881,-0.427637674,-0.097321954,1,0.083965269,0.887434873,-0.520082348,-0.308547652,-0.300244361,-1.187758425,-0.531798641,0.016296204,,
0.3457001,0.19151012,0.731638444,-0.045574374,-0.036353817,-0.172664025,0.115068631,0.725349928,1.403194099,0.735446443,0.656983142,0.25187107,1,-0.036353817,-0.172664025,0.135761115,-1.503747041,0.115068631,0.725349928,-0.462067307,-0.35730075,,
0.513985407,0.229678234,-0.214565136,1.658130359,0.135761115,-1.503747041,-0.462067307,-0.35730075,0.498017571,-0.449051571,-0.084173105,0.783362591,0,-0.036353817,-0.172664025,0.135761115,-1.503747041,0.115068631,0.725349928,-0.462067307,-0.35730075,,
0.207798507,-0.101851481,-0.556693009,-0.283472749,-0.149091293,0.71376987,0.867676426,-0.097591982,0.262764137,-1.12542914,-0.048889414,-1.39167226,0,-0.149091293,0.71376987,-0.444927172,0.138990857,0.867676426,-0.097591982,1.562038152,1.307024765,,
0.628190576,0.930203492,-0.811101051,-0.476237641,-0.444927172,0.138990857,1.562038152,1.307024765,0.416005846,0.608416651,-0.576355013,-0.19974776,1,-0.149091293,0.71376987,-0.444927172,0.138990857,0.867676426,-0.097591982,1.562038152,1.307024765,,
-0.755805549,-0.024853075,-0.572402016,-0.872533927,-0.521067016,0.074704902,0.525957669,0.399885983,-0.980197737,-0.201709535,0.821691962,0.645898217,0,-0.521067016,0.074704902,0.776619541,-0.039147536,0.525957669,0.399885983,-1.08470884,0.936173698,,
-2.081923297,0.226517746,1.017088459,0.364109664,0.776619541,-0.039147536,-1.08470884,0.936173698,-1.281110001,-1.148231324,0.824654306,-0.03686068,1,-0.521067016,0.074704902,0.776619541,-0.039147536,0.525957669,0.399885983,-1.08470884,0.936173698,,
0.229944436,0.402613583,-0.533814934,-0.002840218,-0.365035826,0.422687262,-0.795101278,1.035292712,-0.080715105,-0.383887292,-0.260622044,0.329807055,1,-0.365035826,0.422687262,-0.355842295,0.177161684,-0.795101278,1.035292712,-1.312219876,0.239097494,,
0.96894739,0.432575666,-1.210224866,-0.346604271,-0.355842295,0.177161684,-1.312219876,0.239097494,0.697867079,0.849501268,-0.532110285,0.116236592,1,-0.365035826,0.422687262,-0.355842295,0.177161684,-0.795101278,1.035292712,-1.312219876,0.239097494,,
-0.072296327,-1.221302116,-0.17072884,-0.394060642,0.193937929,1.175518298,-0.794983549,0.219382574,0.551902712,-0.845648344,0.689070321,-0.773549928,0,0.193937929,1.175518298,0.654810856,-0.053657455,-0.794983549,0.219382574,0.569190489,-0.681067241,,
0.22571325,0.567188189,0.221224435,1.063425127,0.654810856,-0.053657455,0.569190489,-0.681067241,0.039739236,-0.36335392,-0.63536566,0.515261813,0,0.193937929,1.175518298,0.654810856,-0.053657455,-0.794983549,0.219382574,0.569190489,-0.681067241,,
