h1real,h1imag,h2real,h2imag,y1real,y1imag,y2real,y2imag,n1real,n1imag,n2real,n2imag,n1realxSNR11,n1imagxSNR11,n2realxSNR11,n2imagxSNR11,Target,ymod1real,ymod1img,ymod2real,ymod2img,ymod3real,ymod3img,ymod4real,ymod4img,  BER ,  All  this data is calculated for 0 db
0.38018808,0.402849424,1.29675253,-0.683706234,1.086421216,0.56783179,0.679493824,-0.617506348,-0.554531154,-0.126768651,0.344342428,-0.316142278,-0.156266879,-0.035723406,0.097035696,-0.089088894,1,1.086421216,0.56783179,-1.265959453,-0.094697826,0.679493824,-0.617506348,1.84663837,1.174313279,for 0 db  394 ,
-1.597245933,-0.501001392,0.609648601,-0.061839081,-1.265959453,-0.094697826,1.84663837,1.174313279,-0.720860399,-0.291818759,0.886666478,1.150783521,-0.20313846,-0.082234526,0.249862614,0.324290796,0,1.086421216,0.56783179,-1.265959453,-0.094697826,0.679493824,-0.617506348,1.84663837,1.174313279,for 1 db 264,
0.225401063,-0.121572487,-0.924675262,0.590283055,-0.168057111,0.209789881,0.480756627,-0.207533542,-0.400949552,-0.041847517,-0.003156958,-0.569828242,-0.112987584,-0.01179263,-0.000889631,-0.160577599,0,-0.168057111,0.209789881,0.110963823,-0.373928668,0.480756627,-0.207533542,-1.250191599,-0.589148348,for 2 db   165,
-0.306595859,-0.208395313,0.242272084,-0.749954026,0.110963823,-0.373928668,-1.250191599,-0.589148348,-0.471626032,-0.555775727,-0.755831377,0.637588533,-0.132904216,-0.1566176,-0.212993282,0.179672449,0,-0.168057111,0.209789881,0.110963823,-0.373928668,0.480756627,-0.207533542,-1.250191599,-0.589148348,for 3 db  113,
2.530308742,0.243852533,1.958287704,0.184533089,-1.259751983,-1.052619265,-3.313752753,-0.23319491,-0.25873429,0.645651857,-0.731890911,1.055107282,-0.072911323,0.181944693,-0.206246859,0.297329232,0,-1.259751983,-1.052619265,2.216543681,1.143462228,-3.313752753,-0.23319491,-0.306614297,0.841067206,for 4 db  76,
-0.954514209,1.75824393,2.146014963,0.984350253,2.216543681,1.143462228,-0.306614297,0.841067206,-0.440298886,0.129148969,-0.30919136,0.489935656,-0.124076226,0.036394179,-0.087130125,0.138063868,0,-1.259751983,-1.052619265,2.216543681,1.143462228,-3.313752753,-0.23319491,-0.306614297,0.841067206,for 5 db 41,
0.512938247,0.41619177,-0.044586528,0.757746984,-0.237749261,-0.680295926,-0.268105233,-1.308223749,-0.413305212,-0.466729603,-0.350587147,0.184912661,-0.116469409,-0.131524402,-0.098795458,0.052108388,0,-0.237749261,-0.680295926,-0.755357192,-0.008650646,-0.268105233,-1.308223749,0.334771316,-0.276254542,for 10 db 1,
0.505399554,-0.174715564,-0.14493289,-1.239416411,-0.755357192,-0.008650646,0.334771316,-0.276254542,-0.062744148,-0.319023519,0.357008886,0.114409476,-0.017681301,-0.089900828,0.100605104,0.03224059,1,-0.237749261,-0.680295926,-0.755357192,-0.008650646,-0.268105233,-1.308223749,0.334771316,-0.276254542,for 11 db 0,
-0.08778331,0.791074007,1.05337528,0.090612696,-0.942626022,-0.263966286,-0.099801037,-0.79215159,-0.313042267,-0.044212461,-0.241941377,-0.627431633,-0.088215311,-0.012459072,-0.06817908,-0.176810234,1,-0.942626022,-0.263966286,0.491831139,-1.376560867,-0.099801037,-0.79215159,1.221831795,-0.833719965,,
0.996337843,1.129217833,1.002106366,0.711906207,0.491831139,-1.376560867,1.221831795,-0.833719965,-0.267833654,-0.033270692,-0.411873012,-0.47347295,-0.075475524,-0.009375681,-0.116065815,-0.133424677,0,-0.942626022,-0.263966286,0.491831139,-1.376560867,-0.099801037,-0.79215159,1.221831795,-0.833719965,,
0.474820177,0.599425161,-0.853822191,-0.244127066,0.144829953,0.319723067,-1.421872787,0.187047904,0.298218723,0.596729246,-0.00535561,0.288989412,0.084038036,0.168158302,-0.001509211,0.081437216,1,0.144829953,0.319723067,0.746615844,-1.086523098,-1.421872787,0.187047904,-0.029104153,0.315056866,,
0.507164314,0.621829767,1.152750428,-0.278827929,0.746615844,-1.086523098,-0.029104153,0.315056866,0.092911456,-0.396494881,-0.427637674,-0.097321954,0.026182448,-0.111732257,-0.120508297,-0.027425327,0,0.144829953,0.319723067,0.746615844,-1.086523098,-1.421872787,0.187047904,-0.029104153,0.315056866,,
0.3457001,0.19151012,0.731638444,-0.045574374,1.396963481,0.711397068,0.735074813,1.281886783,1.403194099,0.735446443,0.656983142,0.25187107,0.395420097,0.207248808,0.185137849,0.070977268,1,1.396963481,0.711397068,0.399051542,-0.279509187,0.735074813,1.281886783,-0.716400983,-0.764184012,,
0.513985407,0.229678234,-0.214565136,1.658130359,0.399051542,-0.279509187,-0.716400983,-0.764184012,0.498017571,-0.449051571,-0.084173105,0.783362591,0.140341352,-0.126542733,-0.023719981,0.220751578,1,1.396963481,0.711397068,0.399051542,-0.279509187,0.735074813,1.281886783,-0.716400983,-0.764184012,,
0.207798507,-0.101851481,-0.556693009,-0.283472749,-0.443370417,-1.218608638,0.939683917,-0.245398455,0.262764137,-1.12542914,-0.048889414,-1.39167226,0.074046934,-0.317145932,-0.013777037,-0.392173243,0,-0.443370417,-1.218608638,-0.063324804,1.071910896,0.939683917,-0.245398455,-0.14421459,-0.248631783,,
0.628190576,0.930203492,-0.811101051,-0.476237641,-0.063324804,1.071910896,-0.14421459,-0.248631783,0.416005846,0.608416651,-0.576355013,-0.19974776,0.117230447,0.171451812,-0.162416843,-0.056288919,0,-0.443370417,-1.218608638,-0.063324804,1.071910896,0.939683917,-0.245398455,-0.14421459,-0.248631783,,
-0.755805549,-0.024853075,-0.572402016,-0.872533927,-1.488912546,0.064316405,1.58601084,1.237654329,-0.980197737,-0.201709535,0.821691962,0.645898217,-0.276219722,-0.056841747,0.231552795,0.182014118,0,-1.488912546,0.064316405,1.286156214,-0.503099468,1.58601084,1.237654329,0.149296396,-0.380238528,,
-2.081923297,0.226517746,1.017088459,0.364109664,1.286156214,-0.503099468,0.149296396,-0.380238528,-1.281110001,-1.148231324,0.824654306,-0.03686068,-0.361016798,-0.323571587,0.232387583,-0.01038734,1,-1.488912546,0.064316405,1.286156214,-0.503099468,1.58601084,1.237654329,0.149296396,-0.380238528,,
