ymod1real,ymod1img,ymod2real,ymod2img,ymod3real,ymod3img,ymod4real,ymod4img,Target
1.086421216,0.56783179,-1.265959453,-0.094697826,0.679493824,-0.617506348,1.84663837,1.174313279,1
1.086421216,0.56783179,-1.265959453,-0.094697826,0.679493824,-0.617506348,1.84663837,1.174313279,0
-0.168057111,0.209789881,0.110963823,-0.373928668,0.480756627,-0.207533542,-1.250191599,-0.589148348,0
-0.168057111,0.209789881,0.110963823,-0.373928668,0.480756627,-0.207533542,-1.250191599,-0.589148348,0
-1.259751983,-1.052619265,2.216543681,1.143462228,-3.313752753,-0.23319491,-0.306614297,0.841067206,0
-1.259751983,-1.052619265,2.216543681,1.143462228,-3.313752753,-0.23319491,-0.306614297,0.841067206,0
-0.237749261,-0.680295926,-0.755357192,-0.008650646,-0.268105233,-1.308223749,0.334771316,-0.276254542,0
-0.237749261,-0.680295926,-0.755357192,-0.008650646,-0.268105233,-1.308223749,0.334771316,-0.276254542,1
-0.942626022,-0.263966286,0.491831139,-1.376560867,-0.099801037,-0.79215159,1.221831795,-0.833719965,1
-0.942626022,-0.263966286,0.491831139,-1.376560867,-0.099801037,-0.79215159,1.221831795,-0.833719965,0
0.144829953,0.319723067,0.746615844,-1.086523098,-1.421872787,0.187047904,-0.029104153,0.315056866,1
0.144829953,0.319723067,0.746615844,-1.086523098,-1.421872787,0.187047904,-0.029104153,0.315056866,0
1.396963481,0.711397068,0.399051542,-0.279509187,0.735074813,1.281886783,-0.716400983,-0.764184012,1
1.396963481,0.711397068,0.399051542,-0.279509187,0.735074813,1.281886783,-0.716400983,-0.764184012,1
-0.443370417,-1.218608638,-0.063324804,1.071910896,0.939683917,-0.245398455,-0.14421459,-0.248631783,0
-0.443370417,-1.218608638,-0.063324804,1.071910896,0.939683917,-0.245398455,-0.14421459,-0.248631783,0
-1.488912546,0.064316405,1.286156214,-0.503099468,1.58601084,1.237654329,0.149296396,-0.380238528,0
-1.488912546,0.064316405,1.286156214,-0.503099468,1.58601084,1.237654329,0.149296396,-0.380238528,1
-0.893133979,-0.80644367,-0.130114502,0.498896061,1.086663823,0.432558704,0.179066447,-0.177713254,0
-0.893133979,-0.80644367,-0.130114502,0.498896061,1.086663823,0.432558704,0.179066447,-0.177713254,0
0.09963311,-1.740196633,0.130829161,0.258199469,0.110339899,-1.465597163,-0.32158659,-0.183559156,1
0.09963311,-1.740196633,0.130829161,0.258199469,0.110339899,-1.465597163,-0.32158659,-0.183559156,0
-0.248558096,0.362421932,-0.817461608,-1.076434791,-0.095983884,0.109172893,-0.445847953,0.817120856,1
-0.248558096,0.362421932,-0.817461608,-1.076434791,-0.095983884,0.109172893,-0.445847953,0.817120856,0
0.907916049,1.189346597,0.031459963,0.271032942,0.582402968,0.251100142,0.908343051,-0.595853583,1
0.907916049,1.189346597,0.031459963,0.271032942,0.582402968,0.251100142,0.908343051,-0.595853583,0
0.739722315,-1.061014262,0.207756863,0.239126209,0.607086658,0.053733003,-0.178218021,-1.13669729,0
0.739722315,-1.061014262,0.207756863,0.239126209,0.607086658,0.053733003,-0.178218021,-1.13669729,1
0.168963635,0.010198361,-0.45417943,-0.271414554,-0.810644536,-0.021753713,0.673354946,1.24421645,1
0.168963635,0.010198361,-0.45417943,-0.271414554,-0.810644536,-0.021753713,0.673354946,1.24421645,0
-0.578392682,0.419243685,0.065827657,0.500415394,-0.335108797,0.241190751,0.708025665,-0.442222158,1
-0.578392682,0.419243685,0.065827657,0.500415394,-0.335108797,0.241190751,0.708025665,-0.442222158,0
1.155480378,-0.217928462,-0.174085282,-0.780173494,-0.248065915,-0.708493226,-0.042586643,-0.675046477,1
1.155480378,-0.217928462,-0.174085282,-0.780173494,-0.248065915,-0.708493226,-0.042586643,-0.675046477,0
0.820674682,-0.098989814,1.055615269,-1.081224621,-0.226320187,-1.482783554,-1.510788049,-0.70068525,0
0.820674682,-0.098989814,1.055615269,-1.081224621,-0.226320187,-1.482783554,-1.510788049,-0.70068525,1
0.101476028,1.416603547,0.229878569,-1.35240931,0.308386962,1.324717269,2.120836617,1.497763331,0
0.101476028,1.416603547,0.229878569,-1.35240931,0.308386962,1.324717269,2.120836617,1.497763331,0
-1.138711691,0.414993515,-1.576027471,0.081518459,0.04870479,-0.015067857,-0.130365412,0.337323961,1
-1.138711691,0.414993515,-1.576027471,0.081518459,0.04870479,-0.015067857,-0.130365412,0.337323961,0
-0.164775915,-0.011739172,0.045191374,-1.207986344,0.243627823,-0.363506445,-1.096838357,-0.529670447,0
-0.164775915,-0.011739172,0.045191374,-1.207986344,0.243627823,-0.363506445,-1.096838357,-0.529670447,1
-0.505974644,-0.547291093,-1.314391232,-0.683958195,-0.618983208,-1.201758017,-0.136472969,-0.21502477,0
-0.505974644,-0.547291093,-1.314391232,-0.683958195,-0.618983208,-1.201758017,-0.136472969,-0.21502477,0
-0.958774058,-2.052104294,0.662856894,-0.160257443,0.884915197,0.836060742,0.447316998,-0.036520672,0
-0.958774058,-2.052104294,0.662856894,-0.160257443,0.884915197,0.836060742,0.447316998,-0.036520672,1
-0.92017656,-0.916254569,0.780265433,0.296722922,-1.374590878,-0.258475635,1.6001259,0.686698024,0
-0.92017656,-0.916254569,0.780265433,0.296722922,-1.374590878,-0.258475635,1.6001259,0.686698024,0
