h1real,h1imag,h2real,h2imag,y1real,y1imag,y2real,y2imag,n1real,n1imag,n2real,n2imag,target,ymod 1 real,ymod 1 imag,ymod 2 real ,ymod 2 imag,ymod 3 real,ymod 3 imag,ymod 4 real,ymod 4 imag,  BER ,  All  this data is calculated for 0 db
0.38018808,0.402849424,1.29675253,-0.683706234,-1.574583432,-0.48200478,0.468288433,-1.137159135,-0.554531154,-0.126768651,0.344342428,-0.316142278,1,-1.574583432,-0.48200478,-0.099401176,1.127808357,0.468288433,-1.137159135,-1.8610453,2.526545255,for 0 db  394 ,
-1.597245933,-0.501001392,0.609648601,-0.061839081,-0.099401176,1.127808357,-1.8610453,2.526545255,-0.720860399,-0.291818759,0.886666478,1.150783521,1,-1.574583432,-0.48200478,-0.099401176,1.127808357,0.468288433,-1.137159135,-1.8610453,2.526545255,for 1 db 264,
0.225401063,-0.121572487,-0.924675262,0.590283055,-0.38410455,-1.039128362,-1.671397585,0.646157616,-0.400949552,-0.041847517,-0.003156958,-0.569828242,0,-0.38410455,-1.039128362,-1.339788388,0.599391467,-1.671397585,0.646157616,-2.456290578,2.016439447,for 2 db   165,
-0.306595859,-0.208395313,0.242272084,-0.749954026,-1.339788388,0.599391467,-2.456290578,2.016439447,-0.471626032,-0.555775727,-0.755831377,0.637588533,0,-0.38410455,-1.039128362,-1.339788388,0.599391467,-1.671397585,0.646157616,-2.456290578,2.016439447,for 3 db  113,
2.530308742,0.243852533,1.958287704,0.184533089,1.696770087,1.008429751,-1.355382653,-0.277190142,-0.25873429,0.645651857,-0.731890911,1.055107282,1,1.696770087,1.008429751,0.186930443,1.402991387,-1.355382653,-0.277190142,1.723632866,0.508642051,for 4 db  76,
-0.954514209,1.75824393,2.146014963,0.984350253,0.186930443,1.402991387,1.723632866,0.508642051,-0.440298886,0.129148969,-0.30919136,0.489935656,1,1.696770087,1.008429751,0.186930443,1.402991387,-1.355382653,-0.277190142,1.723632866,0.508642051,for 5 db 41,
0.512938247,0.41619177,-0.044586528,0.757746984,1.54408295,-0.765091383,-1.508047691,0.387264725,-0.413305212,-0.466729603,-0.350587147,0.184912661,0,1.54408295,-0.765091383,2.18262949,1.831200679,-1.508047691,0.387264725,0.700873879,-0.725373072,for 10 db 1,
0.505399554,-0.174715564,-0.14493289,-1.239416411,2.18262949,1.831200679,0.700873879,-0.725373072,-0.062744148,-0.319023519,0.357008886,0.114409476,1,1.54408295,-0.765091383,2.18262949,1.831200679,-1.508047691,0.387264725,0.700873879,-0.725373072,for 11 db 0,
-0.08778331,0.791074007,1.05337528,0.090612696,-0.621890868,1.580325201,0.426599773,-0.128965801,-0.313042267,-0.044212461,-0.241941377,-0.627431633,0,-0.621890868,1.580325201,-2.934789951,-0.397788135,0.426599773,-0.128965801,1.959817753,2.231333066,,
0.996337843,1.129217833,1.002106366,0.711906207,-2.934789951,-0.397788135,1.959817753,2.231333066,-0.267833654,-0.033270692,-0.411873012,-0.47347295,1,-0.621890868,1.580325201,-2.934789951,-0.397788135,0.426599773,-0.128965801,1.959817753,2.231333066,,
0.474820177,0.599425161,-0.853822191,-0.244127066,1.97550507,2.988553854,-1.463321422,0.455269223,0.298218723,0.596729246,-0.00535561,0.288989412,1,1.97550507,2.988553854,-0.097209461,2.900312751,-1.463321422,0.455269223,-0.161771341,0.077248713,,
0.507164314,0.621829767,1.152750428,-0.278827929,-0.097209461,2.900312751,-0.161771341,0.077248713,0.092911456,-0.396494881,-0.427637674,-0.097321954,0,1.97550507,2.988553854,-0.097209461,2.900312751,-1.463321422,0.455269223,-0.161771341,0.077248713,,
0.3457001,0.19151012,0.731638444,-0.045574374,1.65254318,-0.04761321,2.728777792,1.244549397,1.403194099,0.735446443,0.656983142,0.25187107,0,1.65254318,-0.04761321,-2.973850395,-1.875497297,2.728777792,1.244549397,-0.696328753,-0.854447164,,
0.513985407,0.229678234,-0.214565136,1.658130359,-2.973850395,-1.875497297,-0.696328753,-0.854447164,0.498017571,-0.449051571,-0.084173105,0.783362591,0,1.65254318,-0.04761321,-2.973850395,-1.875497297,2.728777792,1.244549397,-0.696328753,-0.854447164,,
